grant_id,donor_id,grant_name,grant_reference,grant_type,total_value,grant_currency,start_date,end_date,reporting_currency,exchange_rate_basis,indirect_cost_rate,status,grant_manager_id,signed_date,notes
GRT-2023-001,DNR-001,Strengthening Community Health Systems in Northern Tanzania,AID-621-A-23-00001,Cooperative Agreement,2500000.0,USD,2023-01-01,2025-12-31,TZS,Monthly UN Rate,12.5,Active,STF-005,2022-11-15,PEPFAR aligned. Quarterly FFR required. Annual audit mandatory
GRT-2023-002,DNR-002,Quality Education Access Programme Northern Tanzania,UNICEF-TZA-2023-EDU-001,Sub-grant,1800000.0,USD,2023-03-01,2025-11-30,TZS,Monthly UN Rate,10.0,Active,STF-008,2023-01-20,HACT micro-assessment required annually
GRT-2022-003,DNR-003,Malaria Prevention and Community Health Worker Programme,GF-TZA-CDFT-2022-H01,Sub-grant,3200000.0,USD,2022-07-01,2025-06-30,USD,Fixed Rate,8.0,Active,STF-005,2022-05-10,LFA review quarterly. Commodity tracking required for all medical supplies
GRT-2023-003,DNR-004,Womens Economic Empowerment and Financial Inclusion,FCDO-TZA-WEE-2023-001,Contract,1200000.0,GBP,2023-06-01,2026-05-31,TZS,Monthly UN Rate,15.0,Active,STF-012,2023-04-15,Results framework quarterly review. Gender marker required for all activities
GRT-2024-001,DNR-005,Smallholder Agriculture Productivity Enhancement Programme,WB-TZA-AGR-P178234,Cooperative Agreement,4500000.0,USD,2024-01-01,2027-12-31,TZS,Monthly UN Rate,12.0,Active,STF-018,2023-11-01,World Bank procurement guidelines mandatory. ISR reporting semi-annual
GRT-2023-004,DNR-006,Climate Smart Agriculture and Reforestation Programme,EU-TZA-CLR-2023-DCI,Grant,2100000.0,EUR,2023-09-01,2026-08-31,TZS,Monthly UN Rate,7.0,Active,STF-015,2023-07-20,PRAG procurement rules. Euro reporting. Visibility requirements apply
GRT-2022-004,DNR-007,Girls Education Support and Scholarship Programme,AKF-TZA-EDU-2022-003,Grant,450000.0,TZS,2022-01-01,2024-12-31,TZS,Fixed Rate,10.0,Active,STF-008,2021-11-30,Scholarship disbursements require school confirmation letters
GRT-2023-005,DNR-008,Community Health Centre Rehabilitation Kilimanjaro,MOH-TZA-HLT-2023-KIL,Co-funding Agreement,320000000.0,TZS,2023-04-01,2025-03-31,TZS,Fixed Rate,5.0,Active,STF-005,2023-03-01,Government co-funding. PPRA procurement rules apply
GRT-2024-002,DNR-001,Child Protection System Strengthening Arusha and Manyara,AID-621-A-24-00003,Cooperative Agreement,1750000.0,USD,2024-03-01,2027-02-28,TZS,Monthly UN Rate,12.5,Active,STF-021,2024-01-15,Child safeguarding policy compliance mandatory
GRT-2024-003,DNR-002,Nutrition and Community Health Integration Programme,UNICEF-TZA-2024-NUT-002,Sub-grant,980000.0,USD,2024-06-01,2026-05-31,TZS,Monthly UN Rate,10.0,Active,STF-005,2024-04-10,IYCF standards apply. Monthly nutrition screening data required
GRT-2021-001,DNR-004,Vocational Training and Youth Employment Programme,FCDO-TZA-YEP-2021-001,Contract,850000.0,GBP,2021-01-01,2024-12-31,TZS,Monthly UN Rate,15.0,Active,STF-012,2020-11-20,Employment outcome tracking mandatory. 6 month post training follow up required
GRT-2024-004,DNR-006,Water Sanitation and Hygiene Programme Manyara,EU-TZA-WASH-2024-DCI,Grant,1600000.0,EUR,2024-07-01,2027-06-30,TZS,Monthly UN Rate,7.0,Active,STF-015,2024-05-15,PRAG procurement. WASH cluster coordination required
