vendor_id,vendor_name,vendor_type,registration_number,tax_id,contact_person,phone,email,address,region,bank_name,bank_account,due_diligence_status,due_diligence_date,is_blacklisted,blacklist_reason,preferred_vendor,performance_rating,is_active
VND-0001,Kilimanjaro Medical Supplies Ltd,Supplier,6781149-2015,711-963-769,James Lyimo,+255 678 609 123,info@kilimanjarom.co.tz,Plot 3 Main Road Kilimanjaro,Kilimanjaro,NBC Bank,0844483545882,Passed,2024-10-18,False,,False,2.6,True
VND-0002,Arusha Office Solutions,Supplier,2946231-2016,913-447-671,David Kimaro,+255 649 471 666,info@arushaoffice.co.tz,Plot 51 CBD Arusha,Arusha,CRDB Bank,0139243693830,Passed,2025-02-24,False,,False,3.7,True
VND-0003,Tanzania Vehicle Services Co,Supplier,5902707-2020,621-645-601,James Swai,+255 731 243 435,info@tanzaniavehi.co.tz,Plot 5 Industrial Area Kilimanjaro,Kilimanjaro,CRDB Bank,0526712056415,Passed,2025-05-26,False,,False,4.3,True
VND-0004,Northern Stationery Supplies,Supplier,1841697-2022,744-838-734,Grace Kimaro,+255 752 585 371,info@northernstat.co.tz,Plot 175 Market Street Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0212300051119,Passed,2022-02-24,False,,False,3.5,True
VND-0005,Moshi Computer World,Supplier,3262631-2018,778-589-638,Mary Swai,+255 705 613 893,info@moshicompute.co.tz,Plot 137 Industrial Area Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0890855944797,Passed,2023-02-22,False,,False,4.2,True
VND-0006,Babati Agricultural Inputs Ltd,Supplier,4396806-2022,457-673-914,James Mwangi,+255 663 385 671,info@babatiagricu.co.tz,Plot 147 CBD Manyara,Manyara,Equity Bank Tanzania,0938461899891,Passed,2023-01-29,False,,False,3.2,True
VND-0007,Arusha Training Institute,Supplier,5450240-2016,700-345-348,Peter Kimaro,+255 688 552 771,info@arushatraini.co.tz,Plot 164 Market Street Arusha,Arusha,Equity Bank Tanzania,0438852204583,Passed,2022-06-11,False,,True,4.4,True
VND-0008,Kilimanjaro Construction Company,Contractor,5706428-2019,887-191-767,Peter Mwangi,+255 640 516 768,info@kilimanjaroc.co.tz,Plot 45 CBD Kilimanjaro,Kilimanjaro,NMB Bank,0137976822506,Passed,2025-02-01,False,,False,3.0,True
VND-0009,Tanzania Fuel Services Ltd,Supplier,9901636-2022,237-971-616,Mary Mwangi,+255 609 109 405,info@tanzaniafuel.co.tz,Plot 85 Market Street Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0363853504290,Passed,2023-08-16,False,,True,3.3,True
VND-0010,Arusha Hotel and Conference,Supplier,7567785-2016,243-588-431,John Mollel,+255 644 725 976,info@arushahotela.co.tz,Plot 99 Market Street Arusha,Arusha,NBC Bank,0437416613696,Passed,2023-01-31,False,,False,2.5,True
VND-0011,Moshi Medical Centre,Supplier,6095806-2016,402-476-729,Mary Swai,+255 615 783 221,info@moshimedical.co.tz,Plot 40 CBD Kilimanjaro,Kilimanjaro,Stanbic Bank Tanzania,0482536045818,Passed,2023-04-29,False,,False,3.7,True
VND-0012,Northern Tanzania Printers,Supplier,6927179-2016,660-617-307,Mary Kimaro,+255 795 353 796,info@northerntanz.co.tz,Plot 84 CBD Kilimanjaro,Kilimanjaro,NMB Bank,0834711474600,Passed,2023-03-24,False,,True,3.8,True
VND-0013,Babati Hardware Store,Supplier,1356505-2019,863-323-692,Grace Mollel,+255 633 625 525,info@babatihardwa.co.tz,Plot 180 Main Road Manyara,Manyara,CRDB Bank,0170595002132,Passed,2024-07-17,False,,False,2.9,True
VND-0014,Kilimanjaro Furniture Works,Supplier,9835236-2020,650-502-641,Mary Mwangi,+255 695 491 559,info@kilimanjarof.co.tz,Plot 194 Main Road Kilimanjaro,Kilimanjaro,Equity Bank Tanzania,0789854024657,Passed,2024-05-10,False,,False,3.4,True
VND-0015,Tanzania Communications Ltd,Supplier,7868729-2015,,Peter Mwangi,+255 688 258 382,info@tanzaniacomm.co.tz,Plot 63 Main Road Kilimanjaro,Kilimanjaro,NMB Bank,0652327823872,Passed,2024-08-01,False,,False,2.6,True
VND-0016,Arusha Legal Services,Consultant,4881409-2017,633-326-523,John Lyimo,+255 659 935 849,info@arushalegals.co.tz,Plot 152 Market Street Arusha,Arusha,Equity Bank Tanzania,0669619696148,Passed,2023-08-16,False,,False,4.9,True
VND-0017,Northern Research and Consulting,Consultant,4948969-2018,824-247-925,John Lyimo,+255 681 813 526,info@northernrese.co.tz,Plot 106 CBD Kilimanjaro,Kilimanjaro,NMB Bank,0497354655361,Passed,2024-12-10,False,,False,4.1,True
VND-0018,Moshi Security Services,Supplier,1647994-2016,879-701-841,Mary Swai,+255 623 648 841,info@moshisecurit.co.tz,Plot 54 Industrial Area Kilimanjaro,Kilimanjaro,CRDB Bank,0316299254859,Pending,2024-01-30,False,,True,,True
VND-0019,Tanzania Training and Development,Supplier,5637489-2022,467-415-367,Grace Swai,+255 662 812 718,info@tanzaniatrai.co.tz,Plot 26 CBD Kilimanjaro,Kilimanjaro,NBC Bank,0308488712420,Failed,2024-09-07,True,Failed due diligence check,False,,False
VND-0020,Arusha Seeds and Agro Supplies,Supplier,3497300-2020,683-953-351,Amina Mollel,+255 789 249 116,info@arushaseedsa.co.tz,Plot 66 CBD Arusha,Arusha,Absa Bank Tanzania,0857614426571,Passed,2023-03-30,False,,True,4.5,True
VND-0021,Manyara Tree Nursery,Supplier,2217937-2015,522-240-962,John Kimaro,+255 725 288 655,info@manyaratreen.co.tz,Plot 3 Market Street Manyara,Manyara,NBC Bank,0161747847753,Passed,2025-01-24,False,,False,4.0,True
VND-0022,Babati Health Clinic,Supplier,5697117-2023,790-540-925,Mary Mwangi,+255 604 106 644,,Plot 25 Market Street Manyara,Manyara,Stanbic Bank Tanzania,0639364679934,Passed,2024-09-26,False,,False,4.5,True
VND-0023,Kilimanjaro Photo and Print,Supplier,1519195-2021,665-587-157,Amina Kimaro,+255 717 678 349,info@kilimanjarop.co.tz,Plot 22 CBD Kilimanjaro,Kilimanjaro,Absa Bank Tanzania,0903447362679,Passed,2024-04-11,False,,False,4.9,True
VND-0024,Tanzania Software Solutions,Supplier,5593656-2015,970-422-116,Peter Kimaro,+255 658 316 988,info@tanzaniasoft.co.tz,Plot 193 CBD Kilimanjaro,Kilimanjaro,NBC Bank,0266691353346,Pending,2022-03-29,False,,False,,True
VND-0025,Arusha Vehicle Hire Services,Supplier,6666154-2016,958-177-448,Peter Lyimo,+255 684 493 873,info@arushavehicl.co.tz,Plot 102 Industrial Area Arusha,Arusha,NBC Bank,0902572436602,Passed,2025-01-12,False,,False,3.9,True
VND-0026,Northern Cleaning Services,Supplier,2204184-2019,828-902-749,Grace Mollel,+255 774 699 776,info@northernclea.co.tz,Plot 93 Main Road Kilimanjaro,Kilimanjaro,NBC Bank,0555477400879,Passed,2023-01-16,False,,False,2.8,True
VND-0027,Moshi Water and Sanitation,Supplier,,523-497-897,Peter Kimaro,+255 742 668 624,,Plot 147 Market Street Kilimanjaro,Kilimanjaro,NMB Bank,0242381981408,Passed,2024-07-08,False,,False,2.9,True
