budget_line_id,grant_id,line_name,line_code,category,sub_category,approved_amount,revised_amount,currency,flexibility,donor_line_reference,notes
BDL-0001,GRT-2023-001,Agricultural Inputs and Seeds,4.1,Programme Supplies,Agricultural Inputs and Seeds,94614.5,94614.5,USD,Restricted,GRT-2023-001-BL-01,Approved budget line 4.1 for GRT-2023-001
BDL-0002,GRT-2023-001,Office Rent and Utilities,8.0,Operating Costs,Office Rent and Utilities,78846.14,75138.99,USD,Restricted,GRT-2023-001-BL-02,Approved budget line 8.0 for GRT-2023-001
BDL-0003,GRT-2023-001,Furniture and Fittings,5.1,Equipment,Furniture and Fittings,87430.93,87430.93,USD,Prior Approval Required,GRT-2023-001-BL-03,Approved budget line 5.1 for GRT-2023-001
BDL-0004,GRT-2023-001,Domestic Travel and Accommodation,2.0,Travel,Domestic Travel and Accommodation,58466.14,58466.14,USD,Flexible,GRT-2023-001-BL-04,Approved budget line 2.0 for GRT-2023-001
BDL-0005,GRT-2023-001,ICT Equipment and Software,5.0,Equipment,ICT Equipment and Software,72251.37,72251.37,USD,Prior Approval Required,GRT-2023-001-BL-05,Approved budget line 5.0 for GRT-2023-001
BDL-0006,GRT-2023-001,International Travel,2.1,Travel,International Travel,57472.47,57472.47,USD,Prior Approval Required,GRT-2023-001-BL-06,Approved budget line 2.1 for GRT-2023-001
BDL-0007,GRT-2023-001,Community Mobilisation Activities,6.0,Programme Activities,Community Mobilisation Activities,71661.53,71661.53,USD,Flexible,GRT-2023-001-BL-07,Approved budget line 6.0 for GRT-2023-001
BDL-0008,GRT-2023-001,Training Materials and Supplies,3.1,Training,Training Materials and Supplies,60074.9,60074.9,USD,Flexible,GRT-2023-001-BL-08,Approved budget line 3.1 for GRT-2023-001
BDL-0009,GRT-2023-001,Vehicles,5.2,Equipment,Vehicles,99061.02,99061.02,USD,Prior Approval Required,GRT-2023-001-BL-09,Approved budget line 5.2 for GRT-2023-001
BDL-0010,GRT-2023-001,Civil Works and Construction,9.0,Construction,Civil Works and Construction,157086.86,157086.86,USD,Prior Approval Required,GRT-2023-001-BL-10,Approved budget line 9.0 for GRT-2023-001
