activity_id,project_id,activity_name,activity_code,activity_type,planned_start,planned_end,actual_start,actual_end,output_indicator,target_value,actual_value,completion_pct,status,responsible_staff_id
ACT-0001,PRJ-2023-001,Facilitator Training Workshop,PRJ-2023-001/ACT-01,Training,2023-06-23,2023-08-05,2023-07-01,,Number of training activities completed,1000,257,25.7,In Progress,STF-006
ACT-0002,PRJ-2023-001,Policy Dialogue Sessions,PRJ-2023-001/ACT-02,Advocacy,2023-05-07,2023-07-03,2023-05-21,2023-06-23,Number of advocacy activities completed,100,100,100.0,Completed,STF-027
ACT-0003,PRJ-2023-001,Stationery and Materials Procurement,PRJ-2023-001/ACT-03,Procurement,2025-01-19,2025-04-28,2025-01-28,2025-05-06,Number of procurement activities completed,200,200,100.0,Completed,STF-030
ACT-0004,PRJ-2023-001,Community Sensitisation Campaign,PRJ-2023-001/ACT-04,Community Mobilisation,2025-03-19,2025-05-08,2025-03-24,,Number of community mobilisation activities completed,100,38,38.1,In Progress,STF-029
ACT-0005,PRJ-2023-001,End of Project Evaluation,PRJ-2023-001/ACT-05,Monitoring and Evaluation,2023-05-16,2023-06-26,2023-05-22,2023-07-13,Number of monitoring and evaluation activities completed,500,500,100.0,Completed,STF-024
ACT-0006,PRJ-2023-002,Technical Skills Training,PRJ-2023-002/ACT-06,Training,2023-06-20,2023-09-28,2023-07-05,2023-10-07,Number of training activities completed,500,500,100.0,Completed,STF-023
ACT-0007,PRJ-2023-002,Monitoring Visits and Data Collection,PRJ-2023-002/ACT-07,Monitoring and Evaluation,2025-03-22,2025-04-29,2025-03-24,2025-05-13,Number of monitoring and evaluation activities completed,200,200,100.0,Completed,STF-007
ACT-0008,PRJ-2023-002,Medical Supplies Procurement,PRJ-2023-002/ACT-08,Procurement,2023-07-13,2023-09-29,2023-07-28,2023-10-15,Number of procurement activities completed,500,500,100.0,Completed,STF-010
ACT-0009,PRJ-2023-002,Advocacy Workshops with Government,PRJ-2023-002/ACT-09,Advocacy,2024-03-29,2024-05-24,2024-04-08,,Number of advocacy activities completed,50,31,62.1,In Progress,STF-022
ACT-0010,PRJ-2023-003,Village Level Awareness Sessions,PRJ-2023-003/ACT-10,Community Mobilisation,2024-08-02,2024-10-12,,,Number of community mobilisation activities completed,25,0,0.0,Planned,STF-012
