project_id,grant_id,program_id,project_name,project_code,location_id,project_manager_id,approved_budget,project_currency,start_date,end_date,status,beneficiary_target,beneficiary_actual,reporting_district,last_review_date
PRJ-2023-001,GRT-2023-001,PRG-001,Community Health Worker Training and Deployment,CDFT/HLT/KIL/23,LOC-KIL-001,STF-005,450000,USD,2023-02-01,2025-11-30,Active,2500,1843,Moshi Urban,2025-09-08
PRJ-2023-002,GRT-2023-001,PRG-001,Health Facility Equipment and Supplies,CDFT/HLT/KIL/23B,LOC-KIL-002,STF-011,280000,USD,2023-04-01,2025-10-31,Active,0,0,Moshi Rural,2025-06-21
PRJ-2023-003,GRT-2022-003,PRG-001,Malaria Net Distribution Kilimanjaro,CDFT/HLT/KIL/22,LOC-KIL-003,STF-005,380000,USD,2022-09-01,2025-05-31,Active,12000,10234,Hai,2025-06-03
PRJ-2023-004,GRT-2023-002,PRG-002,Primary School Infrastructure Rehabilitation Arusha,CDFT/EDU/ARU/23,LOC-ARU-002,STF-008,420000,USD,2023-05-01,2025-10-31,Active,8000,6543,Arusha Rural,2025-09-21
PRJ-2023-005,GRT-2022-004,PRG-002,Girls Scholarship and Retention Programme,CDFT/EDU/KIL/22,LOC-KIL-001,STF-011,180000,TZS,2022-03-01,2024-12-31,Active,500,423,Moshi Urban,2025-08-02
PRJ-2023-006,GRT-2023-003,PRG-003,Womens Savings and Credit Groups Formation,CDFT/WEE/KIL/23,LOC-KIL-001,STF-012,320000,GBP,2023-07-01,2026-04-30,Active,3000,2145,Moshi Urban,2025-06-11
PRJ-2023-007,GRT-2021-001,PRG-003,Vocational Skills Training for Youth,CDFT/WEE/ARU/21,LOC-ARU-001,STF-012,280000,GBP,2021-03-01,2024-11-30,Active,1200,1089,Arusha Urban,2025-06-01
PRJ-2023-008,GRT-2023-004,PRG-004,Community Reforestation Manyara,CDFT/CLR/MAN/23,LOC-MAN-002,STF-015,350000,EUR,2023-10-01,2026-07-31,Active,5000,2234,Babati Rural,2025-06-01
PRJ-2023-009,GRT-2023-004,PRG-004,Climate Smart Agriculture Practices,CDFT/CLR/MAN/23B,LOC-MAN-003,STF-015,280000,EUR,2024-01-01,2026-07-31,Active,2500,987,Mbulu,2025-06-23
PRJ-2024-001,GRT-2024-001,PRG-005,Smallholder Farmer Input Support Manyara,CDFT/AGR/MAN/24,LOC-MAN-001,STF-018,580000,USD,2024-03-01,2027-11-30,Active,8000,3456,Babati Urban,2025-09-27
PRJ-2024-002,GRT-2024-001,PRG-005,Farmer Cooperative Development Kilimanjaro,CDFT/AGR/KIL/24,LOC-KIL-004,STF-018,420000,USD,2024-05-01,2027-11-30,Active,3500,1234,Rombo,2025-06-12
PRJ-2024-003,GRT-2024-002,PRG-006,Child Protection Committees Arusha,CDFT/CHP/ARU/24,LOC-ARU-003,STF-021,380000,USD,2024-04-01,2027-01-31,Active,150,89,Monduli,2025-08-30
PRJ-2024-004,GRT-2024-002,PRG-006,Child Protection Case Management Manyara,CDFT/CHP/MAN/24,LOC-MAN-004,STF-021,290000,USD,2024-06-01,2027-01-31,Active,200,0,Hanang,2025-08-23
PRJ-2023-010,GRT-2023-005,PRG-001,Health Centre Rehabilitation Moshi,CDFT/HLT/KIL/23C,LOC-KIL-001,STF-005,280000000,TZS,2023-05-01,2025-02-28,Active,0,0,Moshi Urban,2025-08-15
PRJ-2024-005,GRT-2024-003,PRG-001,Community Nutrition Programme Arusha,CDFT/HLT/ARU/24,LOC-ARU-004,STF-005,320000,USD,2024-07-01,2026-04-30,Active,4500,567,Longido,2025-09-22
PRJ-2023-011,GRT-2023-001,PRG-001,Malaria Rapid Diagnostic Testing Manyara,CDFT/HLT/MAN/23,LOC-MAN-001,STF-005,180000,USD,2023-08-01,2025-11-30,Active,6000,4321,Babati Urban,2025-07-07
PRJ-2024-006,GRT-2024-004,PRG-004,Rural Water Supply Manyara,CDFT/WASH/MAN/24,LOC-MAN-002,STF-015,450000,EUR,2024-09-01,2027-05-31,Planning,15000,0,Babati Rural,2025-07-24
PRJ-2023-012,GRT-2023-002,PRG-002,Teacher Training and Curriculum Support,CDFT/EDU/ARU/23B,LOC-ARU-001,STF-008,280000,USD,2023-06-01,2025-10-31,Active,1200,876,Arusha Urban,2025-08-28
PRJ-2024-007,GRT-2024-001,PRG-005,Market Linkages and Value Chain Development,CDFT/AGR/ARU/24,LOC-ARU-002,STF-018,380000,USD,2024-04-01,2027-11-30,Active,2000,234,Arusha Rural,2025-09-12
PRJ-2023-013,GRT-2023-003,PRG-001,Community Health Education Arusha,CDFT/HLT/ARU/23,LOC-ARU-001,STF-011,220000,USD,2023-03-01,2025-05-31,Active,18000,14567,Arusha Urban,2025-09-10
